number,contact,call_history,sms_history,local,answer,duration,cnam,flag
2481947835,No,Yes,Yes,True,Yes,639,Yes,No
7346960138,No,No,No,True,Yes,14,Yes,FLAG
6165441890,No,No,No,True,Yes,10,No,FLAG
8103356816,Yes,Yes,No,True,No,0,Yes,No
5868091952,Yes,Yes,Yes,True,Yes,291,No,No
9066930301,No,No,No,True,Yes,686,No,No
2312725460,Yes,No,No,True,Yes,305,No,No
5862009547,No,No,No,True,No,0,Yes,No
9896909812,No,No,No,True,Yes,38,No,No
2481985973,No,No,No,True,Yes,36,Yes,FLAG
9268265795,No,No,No,False,Yes,262,No,FLAG
2692362706,No,Yes,Yes,True,No,0,Yes,No
9062803174,No,Yes,No,True,Yes,28,Yes,No
9061171527,No,Yes,Yes,True,Yes,51,Yes,No
9891325023,No,No,No,True,Yes,51,No,FLAG
9474517082,No,No,Yes,True,No,0,Yes,No
9474476860,No,Yes,No,True,Yes,30,No,No
8109070266,Yes,Yes,Yes,True,Yes,744,Yes,No
9899821435,No,Yes,No,True,Yes,527,No,FLAG
5863174318,No,No,No,True,No,0,Yes,FLAG
2484833267,Yes,Yes,Yes,True,Yes,692,Yes,No
5868953720,Yes,Yes,Yes,True,Yes,414,Yes,No
5867883905,No,Yes,Yes,True,Yes,72,No,No
8101660184,No,No,No,True,Yes,55,Yes,FLAG
7344506295,No,No,No,True,No,0,No,No
5171547913,No,No,No,True,No,0,Yes,FLAG
2482153755,No,No,No,True,Yes,23,No,FLAG
9065224763,No,Yes,No,True,No,0,No,No
2696687927,Yes,Yes,Yes,True,No,0,Yes,No
3137832952,Yes,No,No,True,No,0,No,No
5866873924,No,No,No,True,No,0,No,No
3139153947,Yes,Yes,Yes,True,No,0,Yes,No
2318965424,No,No,Yes,True,Yes,741,No,No
5174925786,Yes,No,No,True,Yes,686,Yes,No
2692239937,No,No,No,True,Yes,28,No,FLAG
3080783345,No,Yes,Yes,False,No,0,Yes,No
2488798171,Yes,Yes,Yes,True,Yes,220,Yes,No
5171594387,No,Yes,No,True,Yes,7,Yes,FLAG
9061096989,No,No,No,True,Yes,7,No,No
5869059535,No,Yes,No,True,No,0,Yes,No
9471851056,No,No,No,True,Yes,11,Yes,FLAG
8101726969,No,No,No,True,Yes,15,No,FLAG
9063716966,Yes,Yes,Yes,True,Yes,686,No,No
2318149768,No,No,No,True,Yes,172,No,No
1918980760,Yes,Yes,Yes,False,Yes,722,No,No
9892738631,Yes,Yes,Yes,True,Yes,727,No,No
7341839970,No,No,No,True,No,0,No,FLAG
1631495813,No,Yes,Yes,False,Yes,89,No,No
7716497218,Yes,Yes,Yes,False,Yes,53,Yes,No
